Company,Value,Type
WorkflowMax by BlueRock,1,num_countries
Insight,403613,follower_count
Insight,16269,company_size_on_linkedin
Insight,1988,founded_year
Insight,28,num_specialties
Insight,8,num_countries
Aussie Broadband,14962,follower_count
Aussie Broadband,894,company_size_on_linkedin
Aussie Broadband,2003,founded_year
Aussie Broadband,11,num_specialties
Aussie Broadband,1,num_countries
H&H Group,67710,follower_count
H&H Group,1807,company_size_on_linkedin
H&H Group,22,num_specialties
H&H Group,14,num_countries
Yahoo,713387,follower_count
Yahoo,8412,company_size_on_linkedin
Yahoo,11,num_specialties
Yahoo,0,num_countries
nan,0,num_specialties
nan,0,num_countries
NeuroRehab Allied Health Network / NeuroJunior Allied Health,1187,follower_count
NeuroRehab Allied Health Network / NeuroJunior Allied Health,122,company_size_on_linkedin
NeuroRehab Allied Health Network / NeuroJunior Allied Health,2005,founded_year
NeuroRehab Allied Health Network / NeuroJunior Allied Health,12,num_specialties
NeuroRehab Allied Health Network / NeuroJunior Allied Health,1,num_countries
Macquarie Technology Group,30681,follower_count
Macquarie Technology Group,1992,founded_year
Macquarie Technology Group,15,num_specialties
Macquarie Technology Group,1,num_countries
Coleman Greig Lawyers,4119,follower_count
Coleman Greig Lawyers,87,company_size_on_linkedin
Coleman Greig Lawyers,1928,founded_year
Coleman Greig Lawyers,18,num_specialties
Coleman Greig Lawyers,1,num_countries
CrowdStrike,729175,follower_count
CrowdStrike,9192,company_size_on_linkedin
CrowdStrike,10,num_specialties
CrowdStrike,1,num_countries
nan,0,num_specialties
nan,0,num_countries
4 Pines Brewing Company Pty Ltd,5314,follower_count
4 Pines Brewing Company Pty Ltd,118,company_size_on_linkedin
4 Pines Brewing Company Pty Ltd,2008,founded_year
4 Pines Brewing Company Pty Ltd,7,num_specialties
4 Pines Brewing Company Pty Ltd,1,num_countries
Cisco,6555976,follower_count
Cisco,100460,company_size_on_linkedin
Cisco,1984,founded_year
Cisco,11,num_specialties
Cisco,16,num_countries
DHL,2309125,follower_count
DHL,196793,company_size_on_linkedin
DHL,6,num_specialties
DHL,7,num_countries
Salesforce,5421155,follower_count
Salesforce,78943,company_size_on_linkedin
Salesforce,1,num_specialties
Salesforce,10,num_countries
REA Group,105771,follower_count
REA Group,3583,company_size_on_linkedin
REA Group,5,num_specialties
REA Group,0,num_countries
Atlassian,1591027,follower_count
Atlassian,18706,company_size_on_linkedin
Atlassian,2002,founded_year
Atlassian,9,num_specialties
Atlassian,5,num_countries
Strategic Sustainability Consulting,6678,follower_count
Strategic Sustainability Consulting,5,company_size_on_linkedin
Strategic Sustainability Consulting,2005,founded_year
Strategic Sustainability Consulting,6,num_specialties
Strategic Sustainability Consulting,1,num_countries
This Is Flow,1794,follower_count
This Is Flow,40,company_size_on_linkedin
This Is Flow,2013,founded_year
This Is Flow,7,num_specialties
This Is Flow,1,num_countries
LOTUS,4417,follower_count
LOTUS,201,company_size_on_linkedin
LOTUS,2007,founded_year
LOTUS,15,num_specialties
LOTUS,1,num_countries
nan,0,num_specialties
nan,0,num_countries
Stamford Capital Australia,5974,follower_count
Stamford Capital Australia,36,company_size_on_linkedin
Stamford Capital Australia,2010,founded_year
Stamford Capital Australia,10,num_specialties
Stamford Capital Australia,1,num_countries
Pragma,2614,follower_count
Pragma,37,company_size_on_linkedin
Pragma,2012,founded_year
Pragma,13,num_specialties
Pragma,1,num_countries
Amstelveen,2070,follower_count
Amstelveen,35,company_size_on_linkedin
Amstelveen,2016,founded_year
Amstelveen,9,num_specialties
Amstelveen,1,num_countries
Inspire Advisors & Certified Public Accountants,155,follower_count
Inspire Advisors & Certified Public Accountants,8,company_size_on_linkedin
Inspire Advisors & Certified Public Accountants,1,num_specialties
Inspire Advisors & Certified Public Accountants,1,num_countries
ICD Property,5455,follower_count
ICD Property,27,company_size_on_linkedin
ICD Property,2009,founded_year
ICD Property,1,num_specialties
ICD Property,1,num_countries
nan,0,num_specialties
nan,0,num_countries
Four Drunk Parrots,709,follower_count
Four Drunk Parrots,6,company_size_on_linkedin
Four Drunk Parrots,2018,founded_year
Four Drunk Parrots,14,num_specialties
Four Drunk Parrots,1,num_countries
Seiva Technologies LLC,111,follower_count
Seiva Technologies LLC,2,company_size_on_linkedin
Seiva Technologies LLC,2015,founded_year
Seiva Technologies LLC,1,num_specialties
Seiva Technologies LLC,1,num_countries
Pendula,1809,follower_count
Pendula,2015,founded_year
Pendula,1,num_specialties
Pendula,1,num_countries
CreativeCubes.Co,4215,follower_count
CreativeCubes.Co,26,company_size_on_linkedin
CreativeCubes.Co,2017,founded_year
CreativeCubes.Co,10,num_specialties
CreativeCubes.Co,1,num_countries
Engaging.io,530,follower_count
Engaging.io,21,company_size_on_linkedin
Engaging.io,2009,founded_year
Engaging.io,18,num_specialties
Engaging.io,1,num_countries
"NEOLink, global digital logistics and supply chain solution",118,follower_count
"NEOLink, global digital logistics and supply chain solution",10,company_size_on_linkedin
"NEOLink, global digital logistics and supply chain solution",1,num_specialties
"NEOLink, global digital logistics and supply chain solution",0,num_countries
SAO PROPERTY DEVELOPMENT AND INVESTMENT LTD,166,follower_count
SAO PROPERTY DEVELOPMENT AND INVESTMENT LTD,6,company_size_on_linkedin
SAO PROPERTY DEVELOPMENT AND INVESTMENT LTD,1,num_specialties
SAO PROPERTY DEVELOPMENT AND INVESTMENT LTD,0,num_countries
Howden Insurance Brokers Australia,2788,follower_count
Howden Insurance Brokers Australia,74,company_size_on_linkedin
Howden Insurance Brokers Australia,2021,founded_year
Howden Insurance Brokers Australia,1,num_specialties
Howden Insurance Brokers Australia,1,num_countries
Response Security Services,1211,follower_count
Response Security Services,14,company_size_on_linkedin
Response Security Services,2011,founded_year
Response Security Services,1,num_specialties
Response Security Services,1,num_countries
EFCOMM Sales and Marketing Solutions Pty Ltd,7,company_size_on_linkedin
EFCOMM Sales and Marketing Solutions Pty Ltd,1,num_specialties
EFCOMM Sales and Marketing Solutions Pty Ltd,1,num_countries
nan,0,num_specialties
nan,0,num_countries
Miro,422254,follower_count
Miro,2869,company_size_on_linkedin
Miro,2011,founded_year
Miro,1,num_specialties
Miro,8,num_countries
Displayr,20742,follower_count
Displayr,98,company_size_on_linkedin
Displayr,10,num_specialties
Displayr,0,num_countries
Dovetail Genomics,7011,follower_count
Dovetail Genomics,2013,founded_year
Dovetail Genomics,12,num_specialties
Dovetail Genomics,1,num_countries
SixPivot,1859,follower_count
SixPivot,39,company_size_on_linkedin
SixPivot,2015,founded_year
SixPivot,11,num_specialties
SixPivot,1,num_countries
AvePoint,101012,follower_count
AvePoint,1798,company_size_on_linkedin
AvePoint,2001,founded_year
AvePoint,13,num_specialties
AvePoint,14,num_countries
Attach2,3666,follower_count
Attach2,63,company_size_on_linkedin
Attach2,2003,founded_year
Attach2,4,num_specialties
Attach2,2,num_countries
The FSC Group,396,follower_count
The FSC Group,42,company_size_on_linkedin
The FSC Group,1989,founded_year
The FSC Group,6,num_specialties
The FSC Group,1,num_countries
Kasada,4421,follower_count
Kasada,108,company_size_on_linkedin
Kasada,2015,founded_year
Kasada,22,num_specialties
Kasada,0,num_countries
Kaine Mathrick Tech - Cyber-First Managed Services,1671,follower_count
Kaine Mathrick Tech - Cyber-First Managed Services,62,company_size_on_linkedin
Kaine Mathrick Tech - Cyber-First Managed Services,2010,founded_year
Kaine Mathrick Tech - Cyber-First Managed Services,17,num_specialties
Kaine Mathrick Tech - Cyber-First Managed Services,1,num_countries
nan,0,num_specialties
nan,0,num_countries
Beaumont People,16660,follower_count
Beaumont People,90,company_size_on_linkedin
Beaumont People,2001,founded_year
Beaumont People,8,num_specialties
Beaumont People,1,num_countries
TKV Group,2806,follower_count
TKV Group,45,company_size_on_linkedin
TKV Group,2020,founded_year
TKV Group,1,num_specialties
TKV Group,1,num_countries
Scalapay,45426,follower_count
Scalapay,204,company_size_on_linkedin
Scalapay,2019,founded_year
Scalapay,9,num_specialties
Scalapay,5,num_countries
Struber,3035,follower_count
Struber,61,company_size_on_linkedin
Struber,2013,founded_year
Struber,34,num_specialties
Struber,1,num_countries
PhoenixDX,2263,follower_count
PhoenixDX,67,company_size_on_linkedin
PhoenixDX,2016,founded_year
PhoenixDX,23,num_specialties
PhoenixDX,1,num_countries
Bluebird,47522,follower_count
Bluebird,33,company_size_on_linkedin
Bluebird,2020,founded_year
Bluebird,14,num_specialties
Bluebird,2,num_countries
EstimateOne,9894,follower_count
EstimateOne,123,company_size_on_linkedin
EstimateOne,2010,founded_year
EstimateOne,3,num_specialties
EstimateOne,0,num_countries
Zoom Recruitment,1926,follower_count
Zoom Recruitment,137,company_size_on_linkedin
Zoom Recruitment,2004,founded_year
Zoom Recruitment,8,num_specialties
Zoom Recruitment,1,num_countries
Baringa,70123,follower_count
Baringa,2143,company_size_on_linkedin
Baringa,2000,founded_year
Baringa,24,num_specialties
Baringa,11,num_countries
Sensei Project Solutions,3216,follower_count
Sensei Project Solutions,21,company_size_on_linkedin
Sensei Project Solutions,2012,founded_year
Sensei Project Solutions,9,num_specialties
Sensei Project Solutions,1,num_countries
"ICOMM, Inc.",1689,follower_count
"ICOMM, Inc.",80,company_size_on_linkedin
"ICOMM, Inc.",1993,founded_year
"ICOMM, Inc.",7,num_specialties
"ICOMM, Inc.",1,num_countries
CloudWerx,2533,follower_count
CloudWerx,80,company_size_on_linkedin
CloudWerx,2020,founded_year
CloudWerx,15,num_specialties
CloudWerx,1,num_countries
SafetyCulture,42158,follower_count
SafetyCulture,782,company_size_on_linkedin
SafetyCulture,2004,founded_year
SafetyCulture,11,num_specialties
SafetyCulture,5,num_countries
Robert Half,3383311,follower_count
Robert Half,29589,company_size_on_linkedin
Robert Half,1948,founded_year
Robert Half,19,num_specialties
Robert Half,6,num_countries
nan,0,num_specialties
nan,0,num_countries
Intuit,763088,follower_count
Intuit,17721,company_size_on_linkedin
Intuit,1983,founded_year
Intuit,1,num_specialties
Intuit,9,num_countries
DiUS,7753,follower_count
DiUS,100,company_size_on_linkedin
DiUS,18,num_specialties
DiUS,2,num_countries
Medtronic,1993024,follower_count
Medtronic,92919,company_size_on_linkedin
Medtronic,1,num_specialties
Medtronic,7,num_countries
Red Hat,1363570,follower_count
Red Hat,19947,company_size_on_linkedin
Red Hat,1993,founded_year
Red Hat,10,num_specialties
Red Hat,0,num_countries
Bristol Myers Squibb,1458804,follower_count
Bristol Myers Squibb,37987,company_size_on_linkedin
Bristol Myers Squibb,6,num_specialties
Bristol Myers Squibb,5,num_countries
Insights,113554,follower_count
Insights,1993,founded_year
Insights,6,num_specialties
Insights,12,num_countries
HealthEngine LLC,337,follower_count
HealthEngine LLC,11,company_size_on_linkedin
HealthEngine LLC,2012,founded_year
HealthEngine LLC,1,num_specialties
HealthEngine LLC,1,num_countries
HP,5146002,follower_count
HP,124918,company_size_on_linkedin
HP,1,num_specialties
HP,8,num_countries
Swiss Healthcare Startups,9083,follower_count
Swiss Healthcare Startups,11,company_size_on_linkedin
Swiss Healthcare Startups,2016,founded_year
Swiss Healthcare Startups,3,num_specialties
Swiss Healthcare Startups,1,num_countries
Tick Tock,511,follower_count
Tick Tock,18,company_size_on_linkedin
Tick Tock,2004,founded_year
Tick Tock,1,num_specialties
Tick Tock,1,num_countries
Denver Technology,2016,follower_count
Denver Technology,1989,founded_year
Denver Technology,18,num_specialties
Denver Technology,2,num_countries
Henry Schein,189319,follower_count
Henry Schein,10016,company_size_on_linkedin
Henry Schein,1932,founded_year
Henry Schein,1,num_specialties
Henry Schein,0,num_countries
Swyftx,14144,follower_count
Swyftx,103,company_size_on_linkedin
Swyftx,2018,founded_year
Swyftx,1,num_specialties
Swyftx,1,num_countries
Smokeball - Legal Software,5871,follower_count
Smokeball - Legal Software,140,company_size_on_linkedin
Smokeball - Legal Software,2011,founded_year
Smokeball - Legal Software,26,num_specialties
Smokeball - Legal Software,2,num_countries
Carlisle Homes,14975,follower_count
Carlisle Homes,433,company_size_on_linkedin
Carlisle Homes,2004,founded_year
Carlisle Homes,5,num_specialties
Carlisle Homes,1,num_countries
Ansarada,18027,follower_count
Ansarada,210,company_size_on_linkedin
Ansarada,2005,founded_year
Ansarada,25,num_specialties
Ansarada,6,num_countries
Cisco,6555976,follower_count
Cisco,100460,company_size_on_linkedin
Cisco,1984,founded_year
Cisco,11,num_specialties
Cisco,16,num_countries
Hilton,2143320,follower_count
Hilton,135772,company_size_on_linkedin
Hilton,1919,founded_year
Hilton,5,num_specialties
Hilton,3,num_countries
TRC Group,85,follower_count
TRC Group,9,company_size_on_linkedin
TRC Group,2000,founded_year
TRC Group,4,num_specialties
TRC Group,1,num_countries
nan,0,num_specialties
nan,0,num_countries
Gridware,12808,follower_count
Gridware,57,company_size_on_linkedin
Gridware,2020,founded_year
Gridware,1,num_specialties
Gridware,0,num_countries
Seatram,251,follower_count
Seatram,10,company_size_on_linkedin
Seatram,1990,founded_year
Seatram,4,num_specialties
Seatram,1,num_countries
The Network,3838,follower_count
The Network,14,company_size_on_linkedin
The Network,2021,founded_year
The Network,4,num_specialties
The Network,1,num_countries
SCALERR,13967,follower_count
SCALERR,17,company_size_on_linkedin
SCALERR,2020,founded_year
SCALERR,17,num_specialties
SCALERR,5,num_countries
Welcome,5614,follower_count
Welcome,151,company_size_on_linkedin
Welcome,2020,founded_year
Welcome,12,num_specialties
Welcome,1,num_countries
Tectum Group,4394,follower_count
Tectum Group,195,company_size_on_linkedin
Tectum Group,1981,founded_year
Tectum Group,1,num_specialties
Tectum Group,1,num_countries
triSearch,3882,follower_count
triSearch,23,company_size_on_linkedin
triSearch,2018,founded_year
triSearch,5,num_specialties
triSearch,1,num_countries
The Drive Group,122,follower_count
The Drive Group,3,company_size_on_linkedin
The Drive Group,2016,founded_year
The Drive Group,1,num_specialties
The Drive Group,1,num_countries
Sensible,847,follower_count
Sensible,27,company_size_on_linkedin
Sensible,1,num_specialties
Sensible,1,num_countries
Cox Purtell Staffing Services,48681,follower_count
Cox Purtell Staffing Services,21,company_size_on_linkedin
Cox Purtell Staffing Services,1994,founded_year
Cox Purtell Staffing Services,8,num_specialties
Cox Purtell Staffing Services,1,num_countries
nan,0,num_specialties
nan,0,num_countries
Corporeal Health,34,follower_count
Corporeal Health,14,company_size_on_linkedin
Corporeal Health,2014,founded_year
Corporeal Health,5,num_specialties
Corporeal Health,1,num_countries
Volvo Financial Services,41640,follower_count
Volvo Financial Services,2001,founded_year
Volvo Financial Services,1,num_specialties
Volvo Financial Services,1,num_countries
i-Pharm Consulting,166464,follower_count
i-Pharm Consulting,2008,founded_year
i-Pharm Consulting,22,num_specialties
i-Pharm Consulting,4,num_countries
Goodman Private Wealth Ltd,103,follower_count
Goodman Private Wealth Ltd,14,company_size_on_linkedin
Goodman Private Wealth Ltd,1987,founded_year
Goodman Private Wealth Ltd,2,num_specialties
Goodman Private Wealth Ltd,1,num_countries
IBC Recruitment,188,follower_count
IBC Recruitment,4,company_size_on_linkedin
IBC Recruitment,2017,founded_year
IBC Recruitment,1,num_specialties
IBC Recruitment,1,num_countries
Quorum,3710,follower_count
Quorum,65,company_size_on_linkedin
Quorum,2003,founded_year
Quorum,6,num_specialties
Quorum,1,num_countries
Hero HQ,1231,follower_count
Hero HQ,29,company_size_on_linkedin
Hero HQ,2013,founded_year
Hero HQ,4,num_specialties
Hero HQ,1,num_countries
The Migration - Authentic Education & Immigration Consultant for Australia,2720,follower_count
The Migration - Authentic Education & Immigration Consultant for Australia,46,company_size_on_linkedin
The Migration - Authentic Education & Immigration Consultant for Australia,2018,founded_year
The Migration - Authentic Education & Immigration Consultant for Australia,4,num_specialties
The Migration - Authentic Education & Immigration Consultant for Australia,1,num_countries
Spaceful,3853,follower_count
Spaceful,13,company_size_on_linkedin
Spaceful,2016,founded_year
Spaceful,5,num_specialties
Spaceful,1,num_countries
The Media Store,6931,follower_count
The Media Store,1997,founded_year
The Media Store,6,num_specialties
The Media Store,1,num_countries
nan,0,num_specialties
nan,0,num_countries
i'ara Specialist Support Coordination,209,follower_count
i'ara Specialist Support Coordination,16,company_size_on_linkedin
i'ara Specialist Support Coordination,2020,founded_year
i'ara Specialist Support Coordination,10,num_specialties
i'ara Specialist Support Coordination,1,num_countries
Intellya,265,follower_count
Intellya,19,company_size_on_linkedin
Intellya,2022,founded_year
Intellya,20,num_specialties
Intellya,1,num_countries
Decision Inc. Australia,1771,follower_count
Decision Inc. Australia,37,company_size_on_linkedin
Decision Inc. Australia,1997,founded_year
Decision Inc. Australia,25,num_specialties
Decision Inc. Australia,2,num_countries
The Being Group,3989,follower_count
The Being Group,30,company_size_on_linkedin
The Being Group,2015,founded_year
The Being Group,28,num_specialties
The Being Group,2,num_countries
nan,0,num_specialties
nan,0,num_countries
Sensei,9441,follower_count
Sensei,153,company_size_on_linkedin
Sensei,2017,founded_year
Sensei,1,num_specialties
Sensei,1,num_countries
ROLLER,24395,follower_count
ROLLER,276,company_size_on_linkedin
ROLLER,2010,founded_year
ROLLER,20,num_specialties
ROLLER,0,num_countries
"Parker Freeze Dry, a division of ProForm Fabrication, LLC",274,follower_count
"Parker Freeze Dry, a division of ProForm Fabrication, LLC",2,company_size_on_linkedin
"Parker Freeze Dry, a division of ProForm Fabrication, LLC",1,num_specialties
"Parker Freeze Dry, a division of ProForm Fabrication, LLC",1,num_countries
Quest Software,91306,follower_count
Quest Software,3653,company_size_on_linkedin
Quest Software,24,num_specialties
Quest Software,1,num_countries
EP3 by Connamara Technologies,160,follower_count
EP3 by Connamara Technologies,9,company_size_on_linkedin
EP3 by Connamara Technologies,2022,founded_year
EP3 by Connamara Technologies,3,num_specialties
EP3 by Connamara Technologies,1,num_countries
nan,0,num_specialties
nan,0,num_countries
Sparro,7307,follower_count
Sparro,99,company_size_on_linkedin
Sparro,2013,founded_year
Sparro,17,num_specialties
Sparro,1,num_countries
Henry Schein Australia,5230,follower_count
Henry Schein Australia,222,company_size_on_linkedin
Henry Schein Australia,4,num_specialties
Henry Schein Australia,1,num_countries
AirTrunk,31154,follower_count
AirTrunk,357,company_size_on_linkedin
AirTrunk,2015,founded_year
AirTrunk,15,num_specialties
AirTrunk,5,num_countries
Qualtrics,269637,follower_count
Qualtrics,5481,company_size_on_linkedin
Qualtrics,2002,founded_year
Qualtrics,15,num_specialties
Qualtrics,10,num_countries
carsales,39085,follower_count
carsales,896,company_size_on_linkedin
carsales,10,num_specialties
carsales,2,num_countries
Insights,113554,follower_count
Insights,1993,founded_year
Insights,6,num_specialties
Insights,12,num_countries
H&H Group,67710,follower_count
H&H Group,1807,company_size_on_linkedin
H&H Group,22,num_specialties
H&H Group,14,num_countries
Mastercard,1624975,follower_count
Mastercard,38186,company_size_on_linkedin
Mastercard,4,num_specialties
Mastercard,26,num_countries
Prospa,19654,follower_count
Prospa,298,company_size_on_linkedin
Prospa,2012,founded_year
Prospa,1,num_specialties
Prospa,2,num_countries
Red Hat,1363570,follower_count
Red Hat,19947,company_size_on_linkedin
Red Hat,1993,founded_year
Red Hat,10,num_specialties
Red Hat,0,num_countries
Nous Group,36609,follower_count
Nous Group,726,company_size_on_linkedin
Nous Group,1999,founded_year
Nous Group,25,num_specialties
Nous Group,3,num_countries
Uber,2915961,follower_count
Uber,104092,company_size_on_linkedin
Uber,4,num_specialties
Uber,15,num_countries
nan,0,num_specialties
nan,0,num_countries
Intuit,763088,follower_count
Intuit,17721,company_size_on_linkedin
Intuit,1983,founded_year
Intuit,1,num_specialties
Intuit,9,num_countries
Bristol Myers Squibb,1458804,follower_count
Bristol Myers Squibb,37987,company_size_on_linkedin
Bristol Myers Squibb,6,num_specialties
Bristol Myers Squibb,5,num_countries
ServiceNow,1025682,follower_count
ServiceNow,28447,company_size_on_linkedin
ServiceNow,11,num_specialties
ServiceNow,9,num_countries
Nurse Next Door Home Care Services,19,follower_count
Nurse Next Door Home Care Services,2,company_size_on_linkedin
Nurse Next Door Home Care Services,1,num_specialties
Nurse Next Door Home Care Services,0,num_countries
SKY express,22360,follower_count
SKY express,513,company_size_on_linkedin
SKY express,2005,founded_year
SKY express,1,num_specialties
SKY express,0,num_countries
PageGroup,261965,follower_count
PageGroup,2152,company_size_on_linkedin
PageGroup,1976,founded_year
PageGroup,1,num_specialties
PageGroup,37,num_countries
Atlassian,1591027,follower_count
Atlassian,18706,company_size_on_linkedin
Atlassian,2002,founded_year
Atlassian,9,num_specialties
Atlassian,5,num_countries
DHL Express,513675,follower_count
DHL Express,42568,company_size_on_linkedin
DHL Express,9,num_specialties
DHL Express,0,num_countries
Marriott International,968,follower_count
Marriott International,78,company_size_on_linkedin
Marriott International,1927,founded_year
Marriott International,1,num_specialties
Marriott International,1,num_countries
DHL Supply Chain,1753502,follower_count
DHL Supply Chain,62633,company_size_on_linkedin
DHL Supply Chain,39,num_specialties
DHL Supply Chain,5,num_countries
Specsavers,131154,follower_count
Specsavers,24083,company_size_on_linkedin
Specsavers,1984,founded_year
Specsavers,10,num_specialties
Specsavers,5,num_countries
Capgemini,6986069,follower_count
Capgemini,294896,company_size_on_linkedin
Capgemini,11,num_specialties
Capgemini,13,num_countries
OneRange,1393,follower_count
OneRange,7,company_size_on_linkedin
OneRange,1,num_specialties
OneRange,0,num_countries
